LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
72.241,100.0,0.958,0.633,0.242
72.319,100.0,0.98,0.73,0.439
80.16341463,97.8,0.961,0.867,0.184
75.61707317,100.0,0.942,0.755,0.204
69.24,100.0,0.958,0.819,0.179
61.27,14.29,0.658,0.394,0.725
71.56097561,100.0,0.974,0.7,0.107
75.732,67.0,0.887,0.6,0.526
72.043,100.0,0.963,0.825,0.405
59.473,10.1,0.924,0.431,0.578
77.59341463,100.0,0.983,0.864,0.189
77.51463415,98.4,0.942,0.853,0.13
73.574,94.78162384,0.928,0.715,0.44
54.658,29.0,0.84,0.449,0.705
71.463,91.83665466,0.812,0.799,0.531
73.716,100.0,0.915,0.719,0.355
71.89829268,88.1,0.988,0.742,0.514
75.3195122,100.0,0.946,0.756,0.172
75.15780488,99.9,0.978,0.838,0.09
66.433,16.6,0.897,0.583,0.576
76.97121951,100.0,0.948,0.764,0.181
69.37317073,100.0,1.02,0.852,0.197
75.22756098,100.0,0.982,0.818,0.104
76.06829268,100.0,0.982,0.799,0.089
76.08292683,100.0,0.97,0.809,0.146
77.13658537,100.0,0.921,0.769,0.296
69.37707317,100.0,0.984,0.715,0.411
56.388,48.9,0.86,0.721,0.371
75.025,99.5,0.957,0.743,0.213
77.99195122,100.0,0.973,0.822,0.183
76.75853659,100.0,0.968,0.806,0.477
77.0195122,100.0,0.943,0.783,0.206
70.093,100.0,0.813,0.637,0.664
79.03682927,100.0,0.952,0.849,0.161
72.04634146,99.91267395,0.9,0.747,0.29
74.216,100.0,0.931,0.68,0.584
69.03243902,97.5,1.012,0.727,0.388
66.977,100.0,0.961,0.713,0.475
75.35546341,100.0,0.882,0.804,0.327
69.604,99.07067871,0.975,0.633,0.509
65.66439024,100.0,0.942,0.852,0.326
76.98073171,100.0,0.978,0.845,0.129
76.03170732,100.0,0.959,0.811,0.237
70.58780488,100.0,0.974,0.713,0.278
74.01463415,100.0,0.971,0.735,0.251
71.65121951,100.0,0.948,0.689,0.318
50.213,26.91929436,0.757,0.342,0.699
70.88292683,81.4,0.98,0.703,0.282
77.66682927,100.0,0.987,0.813,0.29
46.316,5.6,0.795,0.289,0.66
69.29804878,99.7,1.013,0.723,0.472
75.36585366,100.0,0.963,0.873,0.277
47.097,23.4,0.835,0.408,0.66
58.279,100.0,0.925,0.742,0.64
68.74,92.82945251,0.975,0.735,0.171
72.242,100.0,0.97,0.749,0.37
75.81707317,100.0,0.944,0.835,0.201
76.35121951,99.1,0.962,0.835,0.142
57.635,28.8,0.627,0.413,0.721
71.49439024,100.0,0.965,0.924,0.361
69.979,72.22491455,0.891,0.608,0.536
72.915,27.9,0.966,0.741,0.275
58.348,9.398226738,0.965,0.399,0.572
77.06585366,100.0,0.971,0.868,0.188
77.80609756,100.0,0.919,0.856,0.126
74.135,100.0,0.956,0.923,0.497
54.481,21.5,0.84,0.352,0.704
69.038,97.8,0.975,0.628,0.528
65.031,29.0,0.922,0.726,0.474
72.27170732,100.0,1.007,0.732,0.284
75.8195122,100.0,0.945,0.842,0.162
75.19414634,100.0,0.979,0.841,0.202
68.084,100.0,0.903,0.593,0.572
65.031,38.4,0.87,0.585,0.65
75.8195122,100.0,0.954,0.772,0.17
68.86341463,91.0,1.01,0.69,0.384
75.45536585,99.7,1.005,0.825,0.155
69.984,100.0,0.984,0.861,0.224
76.43414634,100.0,0.969,0.816,0.25
73.679,100.0,0.987,0.769,0.21
69.11707317,100.0,0.983,0.714,0.327
60.853,66.69656372,0.865,0.431,0.586
75.41509756,100.0,0.86,0.751,0.27
78.7602439,100.0,0.973,0.828,0.174
76.50487805,100.0,0.921,0.797,0.146
77.4195122,100.0,0.894,0.789,0.238
70.316,100.0,0.828,0.637,0.656
79.0802439,100.0,0.988,0.848,0.164
65.457,100.0,0.98,0.754,0.28
71.33878049,100.0,0.929,0.805,0.195
68.39609756,100.0,1.015,0.706,0.413
63.401,49.2,0.727,0.457,0.735
77.68536585,100.0,0.973,0.632,0.471
70.616,93.145981,0.942,0.667,0.493
75.27712195,100.0,0.877,0.737,0.33
62.481,99.09967804,0.946,0.7,0.513
43.413,3.2,0.843,0.319,0.714
61.545,26.4,0.97,0.588,0.548
46.319,4.4,0.682,0.222,0.795
77.21707317,100.0,0.917,0.891,0.107
80.82195122,100.0,0.979,0.851,0.127
76.12439024,100.0,0.999,0.858,0.225
71.0902439,75.0,0.975,0.718,0.264
62.977,80.0,1.037,0.727,0.203
69.78439024,100.0,0.957,0.679,0.496
45.891,3.0,0.791,0.331,0.736
71.79512195,100.0,0.968,0.784,0.273
82.4,100.0,0.988,0.82,0.094
50.989,6.8,0.809,0.369,0.618
72.25365854,100.0,1.014,0.81,0.473
73.441,96.18231201,1.027,0.708,0.432
75.61707317,97.1,0.945,0.532,0.386
47.835,19.2,0.977,0.93,0.633
58.107,28.2,0.9,0.498,0.506
72.521,100.0,0.956,0.748,0.356
71.1595122,80.2,0.918,0.739,0.312
77.87804878,100.0,1.05,0.873,0.181
76.06829268,99.6,0.945,0.84,0.195
76.34536585,100.0,0.966,0.85,0.168
57.927,12.71788025,0.689,0.42,0.769
71.34682927,92.0,0.986,0.689,0.279
69.988,58.0,0.868,0.478,0.369
73.19,100.0,0.971,0.731,0.401
45.406,38.9,0.958,0.628,0.568
77.70487805,32.33729553,0.903,0.483,0.185
78.16829268,100.0,0.981,0.861,0.12
70.40731707,99.3,0.964,0.716,0.095
58.625,33.84919357,0.837,0.441,0.704
70.037,92.42799377,0.976,0.635,0.525
74.65,98.6,0.925,0.871,0.331
72.76780488,100.0,0.948,0.751,0.276
75.87073171,100.0,0.942,0.852,0.152
75.11682927,100.0,0.976,0.844,0.091
68.472,70.1,0.906,0.6,0.568
65.468,95.39224243,0.829,0.591,0.538
76.239,100.0,0.956,0.811,0.162
63.792,100.0,1.014,0.811,0.385
75.70512195,100.0,1.001,0.829,0.095
74.01463415,100.0,1.011,0.809,0.21
76.38536585,100.0,0.97,0.82,0.244
56.416,33.5,0.799,0.475,0.63
77.3902439,100.0,0.934,0.769,0.277
69.10121951,100.0,0.984,0.722,0.364
64.598,55.43,0.87,0.49,0.581
59.815,50.9,0.711,0.446,0.706
75.29219512,100.0,0.961,0.76,0.2
78.93463415,100.0,0.974,0.829,0.152
77.15365854,100.0,0.977,0.886,0.519
77.72195122,100.0,0.945,0.858,0.206
70.518,98.09436035,0.806,0.641,0.65
79.30365854,100.0,0.943,0.855,0.18
56.617,10.9,0.837,0.471,0.708
72.34878049,60.2,0.988,0.763,0.366
75.794,100.0,0.941,0.753,0.587
68.9104878,100.0,0.994,0.697,0.462
66.72268293,100.0,1.001,0.679,0.419
63.872,56.77265167,0.731,0.463,0.731
66.543,100.0,0.944,0.634,0.474
72.359,95.44846344,0.997,0.669,0.489
76.59934146,100.0,0.893,0.747,0.326
61.141,96.8,0.9,0.643,0.506
45.75,1.553555846,0.856,0.35,0.711
