Country,Year,LE_at_birth,Doctors_Per_10000,Access_to_Electricity,Gender_Development_Index,Gender_Inequality_Index,Human_Development_Index,Health_Care_Index,Crime_Index
Aruba,1970,67.583,0.995978945,81.4590701,0.876916876,0.565707802,0.6115893,51.39134453,61.88117434
Africa Eastern and Southern,1970,46.71848452,0.088938819,9.910591681,0.559581791,0.72401814,0.296362203,47.05525758,77.73520336
Afghanistan,1970,37.418,0.065,9.643302241,0.568780571,0.727601823,0.300300585,47.05525758,77.9468228
Africa Western and Central,1970,41.03476138,0.095701133,14.99874079,0.579802917,0.723173329,0.290089925,47.05525758,77.27820336
Angola,1970,40.19,0.116,16.67910626,0.710920214,0.710022199,0.31794148,46.91675758,76.29936505
Albania,1970,64.824,0.739,79.76093079,0.726021695,0.691776574,0.551744732,50.62209694,67.56265864
Arab World,1970,50.35134318,0.205808867,34.03739422,0.741269142,0.704241624,0.412443394,47.03539394,73.61975364
United Arab Emirates,1970,60.021,0.909,70.42516665,0.90171433,0.558860785,0.569137467,52.6208187,61.28462542
Argentina,1970,65.589,1.892,97.79416881,0.921990783,0.456553858,0.650086826,57.3899891,54.10079739
Armenia,1970,63.873,0.885384998,78.78020869,0.884929586,0.562115809,0.601499536,51.26149638,62.03311257
Antigua and Barbuda,1970,70.058,0.349,64.58233562,0.879705848,0.562073207,0.578511687,51.79093964,61.09539705
Australia,1970,71.01853659,1.533928039,96.42346775,0.931569197,0.468406284,0.67732347,57.15365398,56.59108379
Austria,1970,69.91463415,1.4,96.75432095,0.837357854,0.574560059,0.649723315,51.49837376,58.43490424
Azerbaijan,1970,59.018,0.140412123,29.30432787,0.747342336,0.701989982,0.430361909,47.05356591,76.33089643
Burundi,1970,43.041,0.017,5.068963034,0.729393954,0.715331381,0.287773031,47.76148052,77.13186068
Belgium,1970,70.97195122,1.640741399,96.89644309,0.934029348,0.462156296,0.684266677,57.97265656,54.87386931
Benin,1970,42.189,0.034,4.902572721,0.747024849,0.705982682,0.30766582,46.94682933,77.35618568
Burkina Faso,1970,39.239,0.01,5.18308184,0.728084706,0.713795799,0.287245377,47.76148052,77.13186068
Bangladesh,1970,42.587,0.119,22.04939004,0.757817667,0.690650667,0.353600364,47.03589773,76.03043647
Bulgaria,1970,71.25634146,1.863,97.09152834,0.964713436,0.44353811,0.698207524,63.03001089,53.46422388
Bahrain,1970,64.45,0.429,65.65886863,0.882379878,0.572171877,0.56547579,51.42287432,60.78001932
"Bahamas, The",1970,65.926,0.76,74.45315984,0.878096275,0.574171916,0.571790908,51.34231555,61.30999331
Bosnia And Herzegovina,1970,66.688,1.192455212,87.32940199,0.942392173,0.509996828,0.647088494,63.6295268,50.15250301
Belarus,1970,70.7444878,1.561202737,97.30075729,0.935485598,0.478716731,0.677353922,59.26299436,54.14420643
Belize,1970,63.468,0.342,64.74192017,0.889902247,0.562015047,0.585708652,53.52765797,59.39586648
Bermuda,1970,69.478,1.17202424,87.7500449,0.943963142,0.511746735,0.648974916,62.61448433,50.88317429
Bolivia,1970,46.597,0.509,50.89854519,0.766668901,0.681431441,0.442834452,48.95318361,70.3957291
Brazil,1970,57.171,0.492,49.47689352,0.755422587,0.696736519,0.436169968,49.34181694,71.59669393
Barbados,1970,68.272,0.523,73.43132808,0.880478689,0.566948265,0.58422161,50.63880536,61.30709368
Brunei Darussalam,1970,64.11,0.3,64.08364624,0.896964505,0.557548396,0.588369731,56.68987161,54.24332271
Bhutan,1970,39.953,0.283145753,42.86239907,0.794997931,0.678948709,0.431847104,49.19920028,71.06987318
Botswana,1970,55.197,0.064,18.73423177,0.7685766,0.69060229,0.389777512,48.51563734,76.36943771
Central African Republic,1970,45.072,0.023,4.884462363,0.714355202,0.720727487,0.290157099,47.85848052,77.50668568
Canada,1970,72.7004878,1.4,94.98828188,0.962331171,0.471655028,0.701554844,64.20874592,54.14516891
Central Europe and the Baltics,1970,69.33041521,1.19850786,88.64032394,0.943232106,0.510264954,0.647642524,63.14624957,50.03394557
Switzerland,1970,73.0202439,1.5,95.73931108,0.942368149,0.465071882,0.708009228,66.47584444,50.5871635
Channel Islands,1970,71.165,1.2,89.10754818,0.953999695,0.477500905,0.676493731,65.00230715,51.73308974
Chile,1970,62.491,0.463,67.08386899,0.874188704,0.615273712,0.553842953,52.32427481,65.32400497
China,1970,56.607,0.86,67.29386446,0.877306838,0.620561539,0.551109184,52.62615204,64.65989573
Ivory Coast,1970,44.325,0.064,8.513397888,0.755927566,0.69695078,0.313872109,47.65448537,76.77459878
Cameroon,1970,47.583,0.034,4.970606016,0.72844248,0.720493457,0.298474663,47.89998052,77.42818568
"Congo, Dem. Rep.",1970,43.284,0.035,4.541729531,0.742637633,0.728555455,0.304812683,47.47914719,77.32193568
"Congo, Rep.",1970,53.634,0.101,35.65825989,0.810162153,0.684334519,0.438882849,49.29127825,72.89166062
Colombia,1970,61.569,0.42,64.77310505,0.871992156,0.614827226,0.552456739,52.87347957,64.80438739
Comoros,1970,44.863,0.257824246,42.6105826,0.791166641,0.68283192,0.425761647,48.76096152,72.21509807
Cabo Verde,1970,54.333,0.082,26.10122498,0.780228514,0.690698614,0.407128241,48.51563734,75.76128791
Costa Rica,1970,65.361,0.614,73.81847469,0.88381611,0.562423689,0.559347299,56.57929515,55.18998312
Caribbean small states,1970,63.29763183,0.861618584,74.72143404,0.891051186,0.563709893,0.571680871,56.52787386,55.98583281
Cuba,1970,68.398,0.822,87.38792672,0.933199959,0.511415451,0.63602544,67.67419316,45.43252522
Curacao,1970,68.27814634,1.212301797,88.59142866,0.945915124,0.508944015,0.652503831,63.59291839,50.33952427
