Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Sustainability_Index_FA,Ease_of_Living_Rank
1970,Algeria,171,4,226,-1.11039,195
1970,Denmark,107,77,6,0.00937,37
1970,Germany,38,87,33,0.08919,38
1970,Colombia,148,52,104,-1.07181,110
1970,China,98,51,99,-0.53733,96
1970,Costa Rica,120,35,87,-0.31488,88
1970,Ecuador,166,9,120,-0.32703,99
1970,Egypt,145,16,168,-1.22152,146
1970,Greece,119,165,8,0.34949,48
1970,Georgia,70,133,30,-0.1554,64
1970,United Kingdom,115,101,16,0.46935,36
1970,France,145,86,35,0.02109,61
1970,Finland,37,158,44,0.24533,55
1970,Spain,124,20,29,0.29473,30
1970,Chile,170,60,94,-0.50139,97
1970,Switzerland,23,74,2,0.43852,3
1970,Canada,33,49,9,0.1887,7
1970,Tunisia,140,25,159,-1.35482,150
1970,Turkey,155,32,102,-0.6525,98
1970,Uruguay,162,99,26,0.34984,52
1970,United States,67,37,39,-0.10286,43
1970,South Africa,141,23,169,-1.22642,150
1970,Thailand,93,107,158,-0.89755,157
1970,Brazil,51,177,105,-0.68239,117
1970,Bahrain,75,28,92,-0.18813,84
1970,Cyprus,5,61,52,-0.00056,10
1970,Jordan,142,18,134,-0.98229,126
1970,Malta,123,105,54,0.11021,70
1970,Sweden,104,168,1,0.45802,28
1970,Syria,66,100,80,-0.25568,86
1970,Hong Kong,148,56,38,-0.01726,58
1970,New Zealand,94,62,18,0.17389,34
1970,Nepal,159,10,223,-1.1155,190
1970,Norway,92,64,23,-0.08844,49
1970,Netherlands,36,1,11,0.60767,1
1970,Nicaragua,130,41,138,-1.01648,133
1970,Malaysia,85,110,106,-0.84323,114
1970,Panama,122,39,91,-0.50658,92
1970,Singapore,83,91,68,-0.19836,79
1970,Saudi Arabia,89,108,160,-0.95731,161
1970,Portugal,161,131,58,-0.17192,83
1970,Philippines,143,19,150,-1.24077,135
1970,Peru,136,27,180,-1.02121,156
1970,Pakistan,147,21,165,-1.28916,149
1970,Israel,174,150,3,0.34493,46
1970,Iceland,173,81,14,0.37279,42
1970,Iran,95,121,153,-0.96175,163
1970,Ireland,156,112,47,-0.1295,76
1970,India,153,15,151,-1.28598,136
1970,Indonesia,165,5,183,-1.11005,147
1970,Hungary,105,54,30,0.08836,47
1970,Italy,108,38,21,0.23269,33
1970,Mexico,154,12,141,-0.899,120
1970,Morocco,68,172,200,-0.86272,213
1970,South Korea,169,17,117,-0.4444,104
1970,Japan,128,45,31,-0.08335,53
1970,Qatar,41,30,66,-0.12745,54
1970,Kuwait,25,50,70,-0.01952,54
1970,United Arab Emirates,65,2,50,0.18771,21
1970,Argentina,22,26,44,0.40651,12
1970,Australia,28,57,15,-0.00424,18
1970,Austria,68,78,24,0.09548,40
1970,Belgium,34,33,10,0.3267,4
1971,Qatar,36,1,58,0.46891,11
1971,Portugal,156,104,45,0.00405,66
1971,Peru,119,43,185,-0.86758,165
1971,Philippines,167,33,122,-0.66241,121
1971,Pakistan,64,171,202,-0.84217,206
1971,Panama,111,118,109,-0.9138,116
1971,Tunisia,153,50,103,-0.50117,101
